#,collection,volume,volume change,floor price,price change,owners,items
1,Metaverse King,8.16 BNB,+11.37%,0.06 BNB,-0.56%,137,311
2,Metaverse Skull Yacht Club,2.82 BNB,+72.34%,0.03 BNB,+5.76%,21,65
3,Metaverse NFT Collection,2.45 BNB,+0.00%,0.03 BNB,+10.15%,140,391
4,Alpine Race Collectibles,1.59 BNB,-58.38%,< 0.01 BNB,+0.00%,29028,144000
5,DeGods,1.4K ETH,+32.65%,2.76 ETH,+0.88%,2567,8683
6,Gh0stly gh0sts ETH,82.74 ETH,-50.67%,< 0.01 ETH,--,1,--
7,DOODLE APE,1.38 BNB,+175.41%,0.04 BNB,+5.05%,114,368
8,Azuki,1.4K ETH,-40.18%,5.71 ETH,-4.63%,4187,10000
9,Mutant Ape Yacht Club,1.4K ETH,+73.46%,5.31 ETH,+1.29%,11377,19486
10,Moonbirds,285.45 ETH,+3.37%,1.37 ETH,-0.28%,5840,10000
11,Azuki Elemental Beans,104 ETH,+2453.29%,0.82 ETH,+8.60%,1525,5322
12,Dimension X,2.13 ETH,+68.65%,0.01 ETH,+84.31%,350,12734
13,KIWAMI Genesis,6.81 ETH,+33385.09%,0.05 ETH,+142.90%,3346,10000
14,Lil Pudgys,88.34 ETH,-52.42%,0.95 ETH,+3.91%,7483,21409
15,mfers,55.27 ETH,+366.23%,0.65 ETH,-3.86%,5693,10021
16,Moonbirds Oddities,6.73 ETH,+3921.32%,0.09 ETH,-7.60%,3968,10000
17,Azuki Elementals,48.2 ETH,+7.02%,0.58 ETH,+0.17%,4650,14578
18,Opepen Edition,40.71 ETH,-51.45%,0.39 ETH,+6.53%,4156,16000
19,CLONE X - X TAKASHI MURAKAMI,98.59 ETH,-45.51%,1.25 ETH,+6.80%,9647,19520
20,The Grapes,99.11 ETH,-76.99%,1.54 ETH,+3.89%,600,3333
21,Isekai Meta,5.08 ETH,-49.14%,< 0.01 ETH,--,--,7777
22,Skyborne - Nexian Gems,89.4 ETH,-32.97%,1.4 ETH,-1.59%,663,3333
23,Imaginary Rides,13.44 ETH,+13.31%,0.17 ETH,-2.91%,1865,13888
24,Allstarz Official,0.72 ETH,+3483.56%,0.01 ETH,+0.55%,396,10000
25,Otherdeed Expanded,23.78 ETH,+37.19%,0.31 ETH,+2.19%,12577,52949
26,Nakamigos,11.59 ETH,-16.46%,0.16 ETH,-0.76%,5587,20000
27,👾 System Bug 👾,0.03 BNB,+0.00%,< 0.01 BNB,+18.75%,--,9999
28,Gray Boys,5.2 ETH,+611.22%,< 0.01 ETH,--,--,--
29,Gemesis,1.02 ETH,+98.02%,0.01 ETH,+27.40%,45191,94757
30,Ape Reunion,1.34 ETH,+73.05%,0.03 ETH,+58.70%,3,10000
31,Return of Legends S3,1.23 BNB,+1006.63%,0.04 BNB,+58.17%,405,12000
32,Mooncatz,1.16 ETH,+750.01%,0.01 ETH,+0.54%,2,5555
33,Meebits,52.77 ETH,-71.31%,1.2 ETH,-2.73%,6575,20000
34,Pixelmon - Generation 1,97 ETH,+28.21%,1.9 ETH,+0.51%,2579,12137
35,Seizon,0.89 ETH,+821.35%,0.02 ETH,+9.13%,1822,7573
36,Redacted Remilio Babies,16 ETH,+13.03%,0.53 ETH,+0.52%,2554,10000
37,Milady Maker,83.06 ETH,+8.67%,2.65 ETH,+0.1%,3531,10000
38,Alien world,0.25 BNB,-88.27%,< 0.01 BNB,+21.05%,9640,796337
39,ROTA Official,2.26 ETH,+90.14%,0.06 ETH,+31.34%,1159,8206
40,Déesse Mystery Box,0.11 BNB,+2944.00%,< 0.01 BNB,+300.00%,2124,17000
41,Pudgy Penguins,367.16 ETH,-59.38%,10.83 ETH,-0.4%,4376,8888
42,Ninja Squad Official,6.93 ETH,+261.21%,0.15 ETH,+31.38%,2,8888
43,Flokitars,0.42 ETH,+38.64%,0.02 ETH,+0.00%,2228,10000
44,Genuine Undead,4.2 ETH,-38.36%,0.12 ETH,-15.28%,2777,9999
45,DenDekaDen Spirit Key Avatars,0.28 ETH,+3.25%,0.01 ETH,+0.00%,2259,7777
46,Otherdeed for Otherside,18.08 ETH,+9.46%,0.54 ETH,-0.6%,3025,100000
47,Ordinal Kubz,4.75 ETH,-57.11%,0.17 ETH,-12.25%,1025,10000
48,RTFKT Animus Egg 🥚,9.34 ETH,-71.34%,0.36 ETH,-1.39%,6474,16749
49,Otherside Vessels,5.95 ETH,-18.69%,0.19 ETH,-2.79%,6274,14897
50,Ultiverse - Electric Sheep,50.01 ETH,+82.17%,1.82 ETH,-1.06%,--,7000
51,IO: Imaginary Ones,39.08 ETH,+21.39%,1.37 ETH,-1.64%,1275,8888
52,Mythics Eggs,2.6 ETH,+1279.90%,0.15 ETH,+25.76%,2108,2600
53,Bored Ape Kennel Club,45.43 ETH,-5.94%,1.6 ETH,+0.64%,5100,9602
54,Moonbirds: Mythics,2.25 ETH,-13.11%,0.09 ETH,-2.76%,1993,8391
55,Delabs Adventure Pass Official,3.69 ETH,+110.38%,0.18 ETH,-9.56%,244,3433
56,a KID called BEAST,9.6 ETH,+4.66%,0.32 ETH,+20.52%,3358,10000
57,NFT Passport Collection,0.52 BNB,-83.48%,< 0.01 BNB,+14.29%,210504,2500000
58,tiny dinos (eth),3.32 ETH,-52.34%,0.12 ETH,-2.86%,--,--
59,Bored Apes Qatar2022,0.1 BNB,+550.00%,0.01 BNB,+199.00%,2,30
60,Parallel Avatars,21.63 ETH,-28.76%,0.95 ETH,+4.94%,2166,11001
61,end of sartoshi - eos pass,0.5 ETH,+133.99%,0.02 ETH,+0.52%,--,16999
62,The Potatoz,44.06 ETH,+129.11%,1.95 ETH,+3.59%,2740,9999
63,Kanpai Pandas,28.6 ETH,+66.90%,1.73 ETH,+0.52%,2146,7707
64,Space Riders NFT,1.63 ETH,+4.26%,0.07 ETH,-0.18%,3193,8888
65,RENGA,4.5 ETH,+35.65%,0.2 ETH,+0.52%,2937,8774
66,Pixelmon Trainers - Generation 1,9.28 ETH,+43.82%,0.43 ETH,-11.11%,1232,10020
67,BasedHeads,0.47 ETH,+77.32%,0.03 ETH,-1.49%,--,10000
68,CR7 Mystery Box Collection,0.05 BNB,+104.73%,< 0.01 BNB,-1.47%,238357,1423597
69,Cool Cats NFT,17.63 ETH,-29.03%,0.88 ETH,+0.53%,5619,9968
70,Alpine Esports Series 2023,0.01 BNB,-56.27%,< 0.01 BNB,+0.00%,18241,48000
71,Return of Legnds S1,0.53 BNB,+0.00%,0.05 BNB,-0.08%,1726,12000
72,HasbullaNFT,0.45 ETH,-42.63%,0.01 ETH,-2.29%,20,10000
73,Astroboy x Japan by XANA,0.3 BNB,+0.00%,< 0.01 BNB,+46.85%,6960,24100
74,Song Lyrics,0.03 BNB,+0.00%,< 0.01 BNB,+114.29%,46,131
75,XTREME PIXELS,0.13 ETH,-25.54%,< 0.01 ETH,+29.29%,5943,25000
76,Kubz,8.06 ETH,+155.63%,0.4 ETH,+3.37%,1855,10000
77,MegaForce Sentinels,0.79 ETH,+228.40%,0.05 ETH,+0.52%,1186,10000
78,Impostors Genesis Aliens,11.51 ETH,+71.77%,< 0.01 ETH,--,1206,10420
79,GameFi Protocol Meow Box,0.06 BNB,+219.87%,< 0.01 BNB,+9.59%,4594,25000
80,Rug Radio - Genesis NFT,2.28 ETH,-72.72%,0.15 ETH,-2.73%,2101,--
81,The Captainz,84.27 ETH,+9.47%,4.49 ETH,+0.34%,3988,9999
82,Kandyland,0.56 ETH,-39.22%,0.03 ETH,+0.52%,2130,7777
83,BEANZ Official,9.15 ETH,-54.98%,0.43 ETH,-0.18%,7594,19950
84,Mavia Land NFTs,15.79 ETH,-65.12%,0.8 ETH,+0.52%,118,--
85,HV-MTL,3.99 ETH,-11.25%,0.21 ETH,-1.88%,8465,28315
86,KartParty-YKZ,37.15 ETH,+21.07%,2.51 ETH,+0.52%,260,700
87,Cornerstone: Companions,0.13 ETH,+951.03%,< 0.01 ETH,+0.54%,1138,5000
