#,collection,volume,change,floor price,sales
26,BlockGames Dice,52 ETH,-9%,0.50 ETH,102
84,The Mounts of Seedworld,10 ETH,-28%,0.63 ETH,15
70,Otherdeed for Otherside,12 ETH,-37%,0.54 ETH,22
20,Mutant Ape Yacht Club,732 ETH,-25%,5.26 ETH,141
62,Terraforms by Mathcastles,48 ETH,+170%,1.55 ETH,31
79,The Sandbox,5 ETH,-17%,0.28 ETH,17
14,Lil Pudgys,188 ETH,+12%,0.92 ETH,208
27,The Crypt,5 ETH,+191%,0.04 ETH,102
64,Milady Maker,75 ETH,-35%,2.65 ETH,29
46,ENS: Ethereum Name Service,9 ETH,+15%,< 0.01 ETH,52
53,InfiniGods - InfiniPass,7 ETH,+1,665%,0.20 ETH,40
48,Pixels - Farm Land,98 ETH,+15%,2.01 ETH,49
90,Winds of Yawanawa by Yawanawa and Refik Anadol,89 ETH,+246%,8.36 ETH,13
39,Ordinal Kubz,11 ETH,+1,531%,0.19 ETH,71
4,Azuki,2,181 ETH,-13%,5.91 ETH,398
16,CLONE X - X TAKASHI MURAKAMI,183 ETH,-37%,1.17 ETH,160
31,Sofa Vision,6 ETH,+124%,0.07 ETH,84
60,Otherside Vessels,7 ETH,+19%,0.20 ETH,35
72,FLUF World,19 ETH,-10%,0.89 ETH,21
19,KOKODI,14 ETH,-28%,0.10 ETH,145
81,Ultiverse - Electric Sheep,28 ETH,-80%,1.85 ETH,16
75,Creepz by OVERLORD,55 ETH,+3%,2.90 ETH,19
67,Mirandus,7 ETH,+250%,< 0.01 ETH,26
96,Supreme Kong,6 ETH,+450%,0.52 ETH,11
50,Trademark by Jack Butcher,8 ETH,-4%,0.12 ETH,45
18,Isekai Meta,10 ETH,+346%,0.08 ETH,146
71,IO: Imaginary Ones,28 ETH,-37%,1.35 ETH,21
35,Nakamigos,13 ETH,+78%,0.16 ETH,82
45,Vendetta Frontier Pass,15 ETH,-16%,0.32 ETH,52
58,Parallel Avatars,30 ETH,+99%,0.91 ETH,35
34,Azuki Elementals,47 ETH,+24%,0.58 ETH,82
9,Skyborne - Genesis Immortals,36 ETH,+166%,0.14 ETH,224
47,VIPER-486,6 ETH,—,0.14 ETH,52
78,World of Women,19 ETH,+90%,1.29 ETH,18
97,MAX PAIN AND FRENS BY XCOPY,9 ETH,+321%,0.41 ETH,10
1,Gh0stly Gh0sts,174 ETH,+15,571%,0.33 ETH,594
63,Seedworld Vanguards,18 ETH,-9%,0.58 ETH,31
13,Moonbirds,281 ETH,-15%,1.38 ETH,212
85,Checks - VV Edition,7 ETH,-26%,0.49 ETH,15
6,The Warlords of Champions Tactics,60 ETH,-0.19%,0.16 ETH,350
87,Nexus Gaming Lifetime Pass,17 ETH,+593%,1.25 ETH,14
92,Kanpai Pandas,17 ETH,-41%,1.73 ETH,12
83,0N1 Force,13 ETH,-22%,0.86 ETH,15
43,Shrapnel Operators Collection,16 ETH,+122%,0.28 ETH,62
40,Imaginary Rides,12 ETH,+87%,0.15 ETH,66
61,Pirate Nation - Founder's Pirates,10 ETH,-17%,0.36 ETH,32
44,y00ts,27 ETH,-58%,0.50 ETH,53
49,Genuine Undead,8 ETH,-35%,0.14 ETH,46
54,Smol Brains,16 ETH,+18%,0.37 ETH,40
93,Azra Games - The Hopeful,8 ETH,-71%,0.75 ETH,12
2,Galactic Konquest,171 ETH,+122%,0.39 ETH,534
91,Treeverse Plots,7 ETH,+47%,0.60 ETH,13
10,Poglin: Nycra,44 ETH,-23%,0.21 ETH,222
24,Balthazar raW Pass,19 ETH,-42%,0.17 ETH,109
42,Azuki Apes,5 ETH,+8,975%,0.09 ETH,66
5,DeGods,1,017 ETH,+56%,2.74 ETH,386
82,Sproto Gremlins,11 ETH,-57%,0.65 ETH,16
29,RTFKT Animus Egg 🥚,32 ETH,+2%,0.37 ETH,99
25,Sugartown Oras by Zynga,50 ETH,+0.93%,0.48 ETH,103
76,mfers,12 ETH,+194%,0.67 ETH,19
77,Doodles Original Collection,33 ETH,-52%,1.81 ETH,18
38,Rug Radio - Genesis NFT,9 ETH,+125%,0.15 ETH,74
69,Redacted Remilio Babies,12 ETH,-47%,0.53 ETH,23
22,Meebits,144 ETH,+126%,1.24 ETH,116
100,Pixelmon Evolution 2 Serum,18 ETH,+799%,2.09 ETH,9
15,Nakamigos-CLOAKS,7 ETH,-36%,0.04 ETH,186
